RegionID,Month,Mortgage
102001,forecast_1,1892.4458758488283
102001,forecast_2,1903.636382085306
102001,forecast_3,1914.8268883217836
102001,forecast_4,1926.0173945582612
102001,forecast_5,1937.2079007947389
102001,forecast_6,1948.3984070312165
102001,forecast_7,1959.5889132676941
102001,forecast_8,1970.779419504172
102001,forecast_9,1981.9699257406496
102001,forecast_10,1993.1604319771272
102001,forecast_11,2004.3509382136049
102001,forecast_12,2015.5414444500825
102001,forecast_13,2026.7319506865601
102001,forecast_14,2037.9224569230378
102001,forecast_15,2049.112963159516
102001,forecast_16,2060.3034693959935
102001,forecast_17,2071.493975632471
102001,forecast_18,2082.6844818689488
102001,forecast_19,2093.8749881054264
102001,forecast_20,2105.065494341904
102001,forecast_21,2116.2560005783816
102001,forecast_22,2127.4465068148593
102001,forecast_23,2138.637013051337
102001,forecast_24,2149.8275192878145
102001,forecast_25,2161.018025524292
102001,forecast_26,2172.20853176077
102001,forecast_27,2183.3990379972474
102001,forecast_28,2194.589544233725
102001,forecast_29,2205.7800504702027
102001,forecast_30,2216.9705567066803
102001,forecast_31,2228.1610629431584
102001,forecast_32,2239.351569179636
102001,forecast_33,2250.5420754161137
102001,forecast_34,2261.7325816525913
102001,forecast_35,2272.923087889069
102001,forecast_36,2284.1135941255466
102001,forecast_37,2295.304100362024
102001,forecast_38,2306.494606598502
102001,forecast_39,2317.6851128349795
102001,forecast_40,2328.875619071457
102001,forecast_41,2340.0661253079347
102001,forecast_42,2351.2566315444124
102001,forecast_43,2362.44713778089
102001,forecast_44,2373.6376440173676
102001,forecast_45,2384.8281502538453
102001,forecast_46,2396.018656490323
102001,forecast_47,2407.209162726801
102001,forecast_48,2418.3996689632786
102001,forecast_49,2429.5901751997562
102001,forecast_50,2440.780681436234
102001,forecast_51,2451.9711876727115
102001,forecast_52,2463.161693909189
102001,forecast_53,2474.3522001456668
102001,forecast_54,2485.5427063821444
102001,forecast_55,2496.733212618622
102001,forecast_56,2507.9237188550997
102001,forecast_57,2519.1142250915773
102001,forecast_58,2530.304731328055
102001,forecast_59,2541.495237564533
102001,forecast_60,2552.6857438010106
394299,forecast_1,1032.7350051875233
394299,forecast_2,1038.260975424841
394299,forecast_3,1043.7869456621588
394299,forecast_4,1049.3129158994766
394299,forecast_5,1054.8388861367941
394299,forecast_6,1060.364856374112
394299,forecast_7,1065.8908266114295
394299,forecast_8,1071.4167968487473
394299,forecast_9,1076.942767086065
394299,forecast_10,1082.4687373233828
394299,forecast_11,1087.9947075607006
394299,forecast_12,1093.5206777980184
394299,forecast_13,1099.0466480353361
394299,forecast_14,1104.5726182726537
394299,forecast_15,1110.0985885099715
394299,forecast_16,1115.624558747289
394299,forecast_17,1121.1505289846068
394299,forecast_18,1126.6764992219246
394299,forecast_19,1132.2024694592424
394299,forecast_20,1137.7284396965601
394299,forecast_21,1143.254409933878
394299,forecast_22,1148.7803801711957
394299,forecast_23,1154.3063504085133
394299,forecast_24,1159.832320645831
394299,forecast_25,1165.3582908831488
394299,forecast_26,1170.8842611204664
394299,forecast_27,1176.4102313577841
394299,forecast_28,1181.936201595102
394299,forecast_29,1187.4621718324197
394299,forecast_30,1192.9881420697375
394299,forecast_31,1198.5141123070553
394299,forecast_32,1204.040082544373
394299,forecast_33,1209.5660527816906
394299,forecast_34,1215.0920230190084
394299,forecast_35,1220.617993256326
394299,forecast_36,1226.1439634936437
394299,forecast_37,1231.6699337309615
394299,forecast_38,1237.1959039682793
394299,forecast_39,1242.721874205597
394299,forecast_40,1248.2478444429148
394299,forecast_41,1253.7738146802326
394299,forecast_42,1259.2997849175501
394299,forecast_43,1264.825755154868
394299,forecast_44,1270.3517253921855
394299,forecast_45,1275.8776956295033
394299,forecast_46,1281.403665866821
394299,forecast_47,1286.9296361041388
394299,forecast_48,1292.4556063414566
394299,forecast_49,1297.9815765787744
394299,forecast_50,1303.5075468160921
394299,forecast_51,1309.0335170534097
394299,forecast_52,1314.5594872907275
394299,forecast_53,1320.0854575280453
394299,forecast_54,1325.6114277653628
394299,forecast_55,1331.1373980026806
394299,forecast_56,1336.6633682399984
394299,forecast_57,1342.1893384773161
394299,forecast_58,1347.715308714634
394299,forecast_59,1353.2412789519517
394299,forecast_60,1358.7672491892695
394304,forecast_1,1143.2592375475238
394304,forecast_2,1149.8799507779108
394304,forecast_3,1156.5006640082977
394304,forecast_4,1163.1213772386848
394304,forecast_5,1169.7420904690716
394304,forecast_6,1176.3628036994587
394304,forecast_7,1182.9835169298456
394304,forecast_8,1189.6042301602326
394304,forecast_9,1196.2249433906195
394304,forecast_10,1202.8456566210064
394304,forecast_11,1209.4663698513934
394304,forecast_12,1216.0870830817803
394304,forecast_13,1222.7077963121674
394304,forecast_14,1229.3285095425542
394304,forecast_15,1235.9492227729413
394304,forecast_16,1242.5699360033282
394304,forecast_17,1249.1906492337152
394304,forecast_18,1255.811362464102
394304,forecast_19,1262.4320756944892
394304,forecast_20,1269.052788924876
394304,forecast_21,1275.673502155263
394304,forecast_22,1282.29421538565
