RegionID,FiveYearHomeCost,FiveYearRentCost,BetterOption
102001,133353.94858949515,136512.28175235048,Buy
394299,71745.06763130378,95483.92279438478,Buy
394304,80314.21667063635,86457.32920020344,Buy
394306,57199.13343918637,0.0,Rent
394307,153566.74448101368,0.0,Rent
394308,120653.95593063324,103396.92891901813,Rent
394312,122774.86599245382,108206.69386236442,Rent
394314,55381.0622262646,0.0,Rent
394318,122507.03680457045,125297.08009854004,Buy
394321,57271.19376991206,0.0,Rent
394323,75379.32132981482,0.0,Rent
394325,89184.76029917586,0.0,Rent
394327,132812.77263292548,104260.83038090427,Rent
394332,145798.2002953827,142703.96109625712,Rent
394333,56701.94365914694,0.0,Rent
394334,114435.29556471933,0.0,Rent
394338,160260.88724435167,132107.86111831915,Rent
394346,132978.7355602812,120903.44929654174,Rent
394347,147172.5670880639,136369.42387549768,Rent
394348,126768.44648777523,132461.08042505302,Buy
394351,117300.45611182394,0.0,Rent
394352,86605.35577349101,99178.13298002363,Buy
394355,182609.2456896425,124357.62434944187,Rent
394357,129381.27379612926,0.0,Rent
394358,137712.96682718696,123799.01526317325,Rent
394359,95776.91242765241,0.0,Rent
394361,268376.9850879428,0.0,Rent
394367,83582.16525285867,88926.37113635824,Buy
394368,65338.58863139291,0.0,Rent
394369,61101.94268082524,0.0,Rent
394372,63315.716234310275,80856.37880094298,Buy
394374,48108.70962599118,0.0,Rent
394378,231863.37238213228,136657.14799637685,Rent
394380,258971.77096063297,163846.85959552246,Rent
394386,142477.91184736617,94475.06952955158,Rent
394387,62909.097137689976,0.0,Rent
394388,94031.7768528166,94648.23300206491,Buy
394390,111670.70052130609,0.0,Rent
394392,99216.00557921661,0.0,Rent
394393,107374.53296987273,0.0,Rent
394395,84101.90160836921,0.0,Rent
394399,195661.00989821702,133901.98177025042,Rent
394404,255706.7014365014,0.0,Rent
394405,279173.652904262,156859.67349654512,Rent
394406,92016.13047941189,0.0,Rent
394407,269978.6898275165,0.0,Rent
394412,218885.19177279875,144004.25939232565,Rent
394415,219942.24908308714,183075.16548337147,Rent
394421,70430.19424360603,0.0,Rent
394423,112464.91972975618,0.0,Rent
394425,98017.75536457052,92560.04175332008,Rent
394428,0.0,0.0,Rent
394429,170439.2983780398,0.0,Rent
394439,71388.56091558276,72442.70242227401,Buy
394440,143206.50823913678,152311.57249056682,Buy
394441,77680.424305554,0.0,Rent
394442,47805.7836501131,0.0,Rent
394444,182100.0550643743,0.0,Rent
394445,98992.19473101803,0.0,Rent
394447,80703.33149299948,65619.6927159039,Rent
394453,97850.75358120173,0.0,Rent
394454,74679.71729905573,79975.17031573004,Buy
394455,48806.68907398155,0.0,Rent
394457,156080.1579790561,138622.96779549972,Rent
394458,145505.54976422322,124085.96915439719,Rent
394459,160791.57517677738,130124.41817635373,Rent
394460,117643.06745866046,104905.4215528385,Rent
394462,133597.83201411794,81849.39894480929,Rent
394463,116349.98813348092,136780.2727213782,Buy
394464,150439.15093911372,109990.75844139696,Rent
394466,106369.56259447148,105813.6240302735,Rent
394471,106738.76194005791,97653.21847032601,Rent
394474,110459.39197485227,0.0,Rent
394475,83798.0315459831,95583.86046115379,Buy
394480,229542.189048036,0.0,Rent
394483,107199.71321334173,98503.94890562678,Rent
394484,179186.56555083863,133088.7059097537,Rent
394485,108120.2860500606,83171.85173528157,Rent
394486,88568.83512614033,104587.68216268306,Buy
394488,68692.75580272479,82566.3852573989,Buy
394489,94779.73826504203,0.0,Rent
394492,118770.01297533463,103838.24092540497,Rent
394502,80732.08220956367,92735.64302421518,Buy
394505,202920.09933190464,128389.80167966499,Rent
394514,143776.17907730618,122474.90909844123,Rent
394515,87604.6260478925,0.0,Rent
394516,30909.318830642616,0.0,Rent
394519,141627.10421252906,116139.83566461442,Rent
394520,64556.624207406494,66354.24502014829,Buy
