RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31
102001,0,United States,country,,1231.2910875178577,1238.026446903072,1247.31750082183,1256.6648418846355,1266.2027675536815,1274.2938385327593,1280.3459123840985,1284.0424323141287,1286.1494132985952,1286.5881842357187,1287.1176201356311,1287.5259757268389,1290.7501380515862,1295.7550976291786,1302.2954915503751,1310.6035926980762,1319.2254369905222,1327.7520781242654,1332.6377293715088,1334.8719226542771,1334.7006258265878,1333.2183716403413,1331.980728401977,1331.2016069248698,1335.926497783017,1343.9573826849369,1356.0344072447722,1366.2410800577798,1375.9349557209378,1383.3425144391388,1388.3735269998465,1389.9833639402918,1390.2327370271958,1388.556654976862,1388.4473703676829,1389.3845096833809,1394.428794267944,1402.065873706444,1412.0413333163556,1422.078369180171,1430.7135646696056,1438.5194306440214,1444.0350332374858,1447.3176083711155,1446.620347485651,1445.8689523169985,1446.466478688944,1448.632429118203,1452.977814343068,1459.311373687195,1470.022704537528,1480.5950222875415,1490.9243723039608,1499.2030758517585,1505.2017992654694,1508.2841164808954,1507.9889552920304,1506.4845567927414,1505.3365577776874,1506.5632967031995,1511.8087813864263,1520.3228895210057,1529.1088917195327,1530.2271346029652,1529.5874664693902,1530.1787060992483,1535.6509711568474,1537.0229157696465,1534.2837823498846,1531.1604623578942,1529.6423128743363,1531.8386599167936,1539.7306379586005,1552.2080347529084,1568.3462681715964,1588.2925880954097,1614.8410841831903,1645.9065302120266,1678.4824765211083,1708.5770313854316,1732.9591672079637,1748.1761949059585,1758.0487036793922,1767.8428466944652,1779.100444495727,1794.9957340659337,1811.4202551705896,1832.757316070347,1854.4367917704117,1877.103397841009,1895.914145313125,1906.696403279491,1909.2084129806776,1904.541118236665,1898.353180698189,1895.276563559111,1897.285217592523,1904.2395808559888,1917.253304224091,1928.6720304506412,1941.3340610092696,1949.1622861874428,1958.5180033521697,1963.7377725273604,1965.1740637863213,1962.0671133136095,1956.8397791262971,1953.6121277320883,1956.700369567067,1965.0461352716757,1976.5903130696224,1988.0741121957883,1999.7636965046268,2010.0989792744956,2018.6159917384437,2023.337784410919,2025.7873289780969,2024.1197018805035,2022.7709878169735,2020.227139472321,2025.083048503649,2033.33608514883,2045.961477727959,2055.7827144148437,2063.513308827297,2068.9040306890215,2071.8277768876333
394913,1,"New York, NY",msa,NY,2403.710486783495,2419.844303312359,2439.898814701029,2461.070758700162,2477.3553297460535,2493.855966879484,2504.844135090082,2515.260113766481,2519.5913570033235,2517.5174345263385,2508.0884120421683,2498.6797823839665,2495.372585927557,2499.6171409957524,2508.168527339364,2521.9008931135786,2537.629216763939,2553.395928542882,2566.5088016760724,2570.7189247613715,2571.6501689867346,2563.5969423302613,2558.5976192914677,2546.086528137291,2542.663699196335,2543.524749642564,2556.205433454793,2571.7837618812955,2590.7105991612566,2606.5115355815806,2617.905840141184,2620.33941076095,2618.260256800674,2603.472960331123,2587.2378227211148,2573.318209743668,2572.165397488294,2579.7951564639948,2593.3060090543295,2613.805686576608,2633.056179936045,2651.538103413892,2664.5082221861553,2674.095782601886,2674.6775415013353,2664.9017249491208,2653.54153601745,2642.5768697049575,2642.6315084670136,2652.1396030086717,2669.1143951243607,2687.7252738796005,2709.262592715475,2732.235167633514,2748.7489324650223,2756.6471537640437,2754.8981875866325,2749.7320504159416,2736.4611620948335,2728.522108185117,2727.8660501275585,2741.948431504055,2751.7149881504192,2745.4222172969157,2728.067461427616,2704.1590291324624,2677.8289460662145,,,2527.6339467791354,2493.813692541547,2480.1487819088848,2478.603631998695,2493.9704635311973,2516.8136542350617,2546.5788766657197,2593.585785050312,2651.402078696086,2718.343007035429,2781.81722429108,2833.0510345304624,2868.5485881929803,2892.034003791837,2914.140957608025,2939.645000367411,2973.3695930798885,3013.9902688274265,3057.493663864592,3111.9205658993237,3168.5672572549447,3220.2006986297924,3249.844265679497,3254.4662286292096,3237.783233027308,3210.205252625322,3189.1126344546738,3186.501719783054,3200.022761957289,3227.9379457915225,3262.097022362195,3300.044784848062,3332.3356424718972,3356.295048360567,3367.366493451437,3366.56888324383,3351.166542791535,3327.299102274331,3311.155636825998,3315.3251777301034,3335.481374668827,3367.158008951014,3396.709220963168,3429.694852835481,3458.279171663726,3476.829449630293,3482.964530161577,3473.386160576746,3458.670033744152,3447.0349063882286,3441.2479491985273,3452.1972969738804,3474.4319214193583,3508.0971971321483,3541.5356108106307,3571.646786416816,3607.9549051455697,3642.7455733320226
753899,2,"Los Angeles, CA",msa,CA,1824.5984520166228,1836.8992829159952,1853.4558510669904,1868.247419312521,1883.1883642145335,1895.1829139793033,1907.9540925405704,1918.676085194459,1928.7290292807616,1934.0556196577415,1939.1449940573889,1945.033982509897,1954.8326049627397,1966.0547976661649,1978.2676380268024,1988.8923287178948,2003.17126670811,2016.2095723772948,2029.4168532779072,2035.6143293784644,2040.6977159712465,2041.5611621525727,2043.419397739969,2046.985970303867,2061.164062403938,2078.858437925312,2099.922531874044,2114.075047270743,2127.3458515135817,2136.710398902917,2147.025555443534,2152.4087030051246,2157.807905218277,2158.552807585962,2163.335710495595,2168.0071712371546,2179.6378552129404,2191.8472167503896,2203.0510253722555,2212.209363501431,2219.8970194867293,2231.5567018772026,2242.180832794276,2251.5916063254044,2256.0481624911777,2260.04786533058,2265.8613676657596,2271.631274295181,2277.0622581078433,2281.080116175516,2292.7716683843005,2303.6214164702,2316.768191701374,2325.81060415589,2334.6229895973224,2340.6361293083355,2344.5782772989683,2346.905476069415,2350.277409779322,2354.228704941849,2361.2667363831147,2366.0054619223597,2365.4879664300693,2353.9172091009045,2342.8867503204297,2337.1926420263344,2338.8341144891274,2338.9201225992088,2338.14737750983,2338.8316915990476,2339.9654992101637,2340.2769829936965,2349.5790747795577,2360.259635768863,2375.3761780274845,2387.0041844627212,2407.3769750162633,2442.6954670442688,2490.0084446942456,2544.675904279824,2586.183903484551,2612.155337155962,2626.6125718081225,2644.911928305301,2664.7526585994706,2690.640995236585,2714.986734650848,2745.909490633574,2772.305631095576,2796.8836687591483,2817.2374482095047,2832.3207708226346,2838.6016224209475,2833.3714650398833,2826.0958137932153,2818.58954433976,2818.1119347185763,2824.102593301503,2839.3966913480976,2850.747913244738,2860.078213087736,2867.110222374861,2880.1632795263154,2891.581144393537,2895.3757107287297,2892.42479313765,2880.6988874983463,2873.147491741704,2876.7505455919545,2888.3439701133375,2903.706054365503,2913.845750163049,2927.2921288869975,2940.729568690616,2954.5915432032893,2961.2214587552753,2966.9637657220983,2965.8688386729027,2963.88190757922,2956.8002757109793,2978.887851511851,3000.8715465753935,3025.5836152323177,3023.5221936551343,3027.660419877578,3030.8425773787126,3032.860103883862
394463,3,"Chicago, IL",msa,IL,1439.4219940853664,1446.6198899737622,1456.7861424948746,1466.1459624301035,1476.7732539953022,1486.7616558363204,1491.5082891881068,1494.2062801000363,1488.975098866543,1481.6261585555944,1475.1200229466008,1475.5593839680134,1483.5902061108034,1492.8478104354228,1504.7015206585031,1512.7009767699349,1521.39529246159,1529.1169960556235,1535.619867770549,1539.2229025609756,1532.2620809292548,1522.3039123092458,1510.2091034616526,1504.90399032468,1511.0618353130278,1525.2968534044096,1544.2258530482068,1558.267370295512,1570.1413911855682,1576.0689548915798,1577.8648115824326,1572.9509938302333,1567.042682371164,1555.6927196108302,1549.0981932972504,1546.5044508049675,1555.2030505778516,1567.1384381903958,1580.693382786906,1592.1484910778015,1602.585720639705,1611.7753945562615,1616.2635710268794,1613.6602151638212,1603.005584146007,1591.509910419319,1584.4903779237804,1585.6609631534488,1595.2179541002365,1606.0155608028142,1622.1410096312854,1635.2537932084488,1647.8074577060788,1654.5548165918235,1657.5388798218548,1656.7495066817112,1651.598907746112,1644.8519512776156,1638.0179018263084,1633.236430065423,1642.170163849318,1654.6456525021065,1670.2234392499277,1671.246673587076,1669.7925778641231,1666.409998427474,1665.721230030617,1659.896665636216,1645.241695078115,1623.598399058177,1606.167807736618,1599.3402543040356,1602.310486665794,1613.756379340772,1630.8727293974075,1657.151347169506,1684.6790724923285,1710.5621918848276,1730.1775037029047,1743.639403234106,1751.4164700044191,1750.727752357444,1750.9505998987272,1756.6353538650285,1770.3679050169817,1786.1750905222232,1806.462531675544,1831.489096604344,1858.610545651533,1879.9445608800345,1896.4491815336924,1904.2604815073496,1905.206550769232,1900.5148350643897,1895.038174665617,1895.4281077899952,1903.2202631830771,1917.9531980697393,1936.6342627156064,1955.9452805888832,1978.0034114229509,1996.749416839577,2009.345265983885,2015.96887441352,2012.6911322253547,2004.1006860327211,1995.8674078611543,1997.4583713003924,2007.5058818163204,2022.466817775716,2038.324176483657,2059.1534962585597,2078.086305123751,2095.3451467017626,2104.44527035957,2108.0480294166023,2107.476670720312,2107.874737592819,2110.656887231701,2114.9762937540095,2121.8301920384283,2137.325724323875,2156.2160820414915,2179.8295368867925,2200.8382506587227,2221.3132094721923,2233.0949517461245
394514,4,"Dallas, TX",msa,TX,1115.5835705695772,1120.6397455948925,1128.478940664248,1140.6162539686443,1150.565242070375,1159.2234810043572,1165.733377263067,1169.4283883217856,1170.9332873461858,1171.0409919298477,1171.7279404025846,1173.5664319623788,1174.9634081534498,1181.101410346772,1189.0627323231358,1200.5997241492585,1209.0692577259886,1216.983697773421,1222.0634531163817,1225.7842139682314,1225.9715641380642,1226.5715111522363,1226.313655532354,1227.414202159994,1232.3709086463623,1238.4134880780443,1251.1138153318796,1260.6066566326997,1273.5472172678033,1280.1295546828587,1285.1166239382926,1286.455037375557,1285.2146739142268,1283.000954950021,1284.689933576592,1285.1710326172818,1290.0568926418116,1295.999919536442,1303.8467547934522,1311.7665288770695,1316.9403906943005,1325.3607046844825,1329.1572715041125,1330.7201798378808,1327.5942219066008,1329.9831401120518,1331.318653516027,1334.3318723520133,1336.4635766047068,1340.7741544219114,1352.1517362387394,1361.6939027468766,1371.2543471657923,1378.166953514,1381.4410351187144,1383.6271940848278,1382.396488909959,1381.5267295773046,1379.5641717502788,1376.1756113483027,1378.8036057982642,1384.577009277835,1393.3011417156454,1394.1770371346067,1393.797275142338,1394.8213538541024,1399.0693996058362,1403.148459056773,1405.4404136759774,1408.2745572534352,1409.8185234411694,1413.0662580360702,1419.9743420533468,1431.5516900010157,1443.6315217998497,1462.414183259774,1487.2770733593957,1521.2498517874744,1556.053298187266,1588.3228355159604,1612.3160993109527,1626.7021332174309,1638.414229535631,1648.3599890988346,1660.392416102321,1672.2227364172145,1685.940402718773,1705.4436642232724,1728.5496300645875,1757.6280053681485,1779.000159904281,1787.0379124600502,1781.9006597838445,1767.8932154811848,1757.2769156093982,1748.759129298871,1748.3801305886018,1750.8454405524865,1762.1450808732905,1766.5848774644776,1774.76423499909,1777.825170066287,1785.6009048652834,1787.0855798902585,1782.6981657633232,1775.1548297750223,1767.2927496692948,1758.9012817907296,1754.9440509134447,1752.73808927048,1756.734076908676,1761.7009947171423,1768.7994955688405,1775.439843181442,1780.8150310661715,1783.8982330922304,1780.7540268116843,1776.0353783124733,1769.3896527507272,1763.502008385842,1761.7741318779294,1767.494927892931,1777.6405000103937,1787.8080180689044,1790.9703968717142,1792.106864485516,1788.9650430766997
394692,5,"Houston, TX",msa,TX,1266.776559461145,1270.6002577738252,1277.326610401886,1287.6460100278075,1297.4258146276609,1306.1187874776958,1308.019507849862,1309.2204169895087,1306.7265692617405,1303.1632674863345,1299.4739343972542,1296.2278909789586,1297.0369228689528,1299.1977308841078,1305.5791907886091,1310.1807722247663,1313.343874845474,1314.544899665235,1313.976900415407,1311.2828568766545,1305.4718876326583,1301.4203485207186,1295.7131569194744,1293.4567346055037,1294.3485673107452,1302.5961522080654,1311.2877100048524,1316.6172075365712,1324.3870924157316,1326.2907067074336,1326.8993111542768,1321.7729213209825,1328.8931857203568,1337.1744491528864,1348.4342392412768,1353.750229261542,1356.9289337363098,1362.9043895086927,1365.129712816139,1372.6044352787424,1375.3090370607774,1380.633444570468,1380.5155878701876,1378.8079277460167,1374.938719036238,1375.119914650876,1377.6929910641836,1377.2637619281315,1377.8934867107082,1376.4798967481645,1384.1391360777486,1389.6602484784785,1398.879170424073,1404.8045517011833,1408.5384308334112,1407.8700271900589,1404.627117038685,1403.8078718118215,1403.8070708419696,1407.0510997806964,1409.907167490224,1416.100933626308,1421.6799722934352,1418.7814064599722,1412.4882540641504,1407.8903130315402,1412.266199502718,1417.666473865033,1418.0086463938485,1420.114099449339,1421.3725270684808,1422.1463694883323,1425.2056234144677,1427.349947894685,1436.66113095043,1449.7980374456176,1471.9323554576022,1500.0571784957103,1526.667334801988,1551.0361588507164,1564.758324485207,1572.5554560704663,1576.1272400303312,1580.6987567884769,1586.7600612786448,1597.430936510953,1608.2364934331583,1622.3984719131167,1634.427950598785,1650.6012936323982,1662.656251769179,1669.8491818965722,1667.7949670284188,1661.4694262945889,1653.7541634587508,1651.1857841795977,1654.3815481364857,1662.5100549997376,1674.4053375075584,1681.1128081352574,1690.8960470189743,1698.3733029731422,1705.3807715501607,1706.778745286969,1702.394775213369,1697.40875079207,1691.3399948169465,1688.8147398524682,1690.3758395781936,1695.4386997167262,1700.77260888468,1708.821703495575,1718.3454918538455,1727.599291733577,1733.133718337481,1736.7974830986882,1739.1008500841126,1739.182836545471,1735.838843817878,1731.5443788930572,1730.619779561409,1734.7412835889338,1744.6286572158317,1750.3575050005925,1752.3395921173362,1745.1137844892055,1745.3438991920557
395209,6,"Washington, DC",msa,VA,1758.3257337468406,1765.505670719462,1777.4145919524717,1786.6760877976662,1795.5052648582223,1802.5937821940631,1806.7649413884844,1804.503306455377,1804.168412540824,1799.315574034278,1798.973501077286,1794.317492824914,1797.922293310938,1801.4613106095,1810.1354986184856,1817.4881262081008,1826.1193444302855,1832.4639277425192,1837.090953279248,1838.7269309854385,1834.7600030079575,1829.2185769690325,1823.2823231999305,1821.0458694031884,1826.3684735228985,1838.4621591250077,1852.2205420108185,1863.5415906070857,1870.2599406636095,1877.9082696126904,1880.9624847577816,1880.8310455211945,1878.5693994812425,1874.0149635769396,1868.4647127543913,1864.5726116150947,1867.2734537344936,1873.9163626930228,1886.6370717018528,1898.867913381592,1910.544697510145,1919.3355281985696,1925.0815043813232,1929.67174410016,1924.689412667312,1922.1634405292025,1922.5204392370783,1927.6685457203296,1932.0980966883096,1938.3256463164664,1948.311173805645,1960.0205563026675,1971.533573686807,1980.6833595672183,1986.282097025275,1987.4967011407248,1987.4821268769604,1981.395796757934,1975.0523206558903,1974.8746339226536,1983.4950623381296,1992.9360205866128,2003.7744783807857,2003.5859716198256,2001.8180995085495,1995.017267490654,1993.3492977724725,1988.8936280032124,1975.1765432887944,1956.9198998635504,1936.659850905566,1925.8266090414795,1928.150584087621,1936.6412346858615,1947.6432048696984,1963.0505152890612,1991.680908215993,2030.257710902969,2069.451779736623,2101.5013285497935,2120.9663728832275,2130.4548960111406,2130.749711671829,2130.565969689256,2132.2542719217076,2144.0386444413316,2163.0883472530086,2188.2577499679846,2214.7287072781305,2241.619056700585,2266.7852731387975,2278.5798005149736,2278.510243070192,2261.5964477858192,2244.5768241750916,2230.9062252672325,2232.7455078194366,2245.293811661539,2270.2986393842243,2286.908545268294,2305.5574254996022,2317.004615027708,2334.090446394907,2344.4499197811197,2347.0612487743024,2343.196336951278,2335.701235458899,2328.2573010401034,2331.4535958385195,2345.192029486854,2367.347462516002,2388.2570349865823,2408.231041436007,2428.830025454949,2445.351203518255,2454.0970471032074,2454.106035878753,2444.9528002780553,2438.1246662066765,2430.7664562264845,2442.06999537449,2456.93069607112,2480.1054036396854,2493.057208876629,2501.4436683478248,2505.260949450735,2504.009046157033
394974,7,"Philadelphia, PA",msa,PA,1253.3031537498164,1259.6707693329213,1273.2511496151303,1280.1638287821163,1286.4524955124823,1289.4715973585353,1291.5753852543523,1292.5149274986234,1291.5337808665524,1290.5558372126145,1286.2853431321987,1283.0346949829016,1284.4939787890137,1293.3583763387471,1303.1284211435227,1312.0665500488117,1318.5240661328746,1326.0792705343426,1327.542085765184,1327.1034036864482,1323.58076589236,1321.9658745088927,1324.030060836503,1324.6051187495991,1329.108465011847,1335.0830417951868,1346.9693133309524,1356.2505750668745,1362.3916600502323,1363.4627418355428,1364.081151842376,1363.5830812571094,1362.912095603382,1361.9076736372708,1361.4803328437351,1364.446803193743,1368.0043777111675,1376.2186270631073,1387.3297244699484,1397.5304588562426,1406.5770483535782,1410.307680139863,1411.361582462382,1409.8916718780572,1407.626007865572,1408.9317817725666,1412.8045117857646,1414.0873473326308,1418.8691385439834,1425.425813075429,1440.0766574195686,1451.7733511883926,1459.3528096584073,1466.8247730313017,1470.378414472622,1470.2451315546784,1466.1044724424812,1464.491970328655,1464.5542116341644,1467.3027002373665,1471.19511613007,1483.1127631158822,1494.664501997513,1499.8363135025113,1500.3579202052945,1501.4313808623924,1506.963977475327,1506.972773133751,1505.707718923285,1504.525309504012,1505.4919548124417,1508.4762398522057,1514.330013864029,1523.440690576609,1533.447444278861,1549.5542687385844,1571.690854152351,1593.8951146747552,1613.180717683273,1629.563470725759,1637.8329210702304,1647.1943522473732,1655.0538809097525,1671.9865624986758,1683.4738119201184,1696.4864049580844,1708.200830500062,1723.3254827331175,1738.3114211101151,1753.4299621694386,1765.7763889108298,1771.1849371699122,1771.1153229856802,1765.5493431596765,1763.345804170096,1760.247405668529,1764.814612363144,1768.152547316054,1781.2004593820648,1790.8603868688135,1803.1248366669615,1808.3970816967187,1816.5860018810624,1822.0436550158756,1828.4028172984745,1830.1702430059647,1829.13143676165,1826.7732230941529,1828.668010462396,1837.5239372654655,1848.059773011799,1857.6425005080173,1866.4347989988376,1875.417028920352,1883.4888785107512,1889.8410188683815,1895.1057049137785,1900.653717312974,1905.1060368462215,1909.8857525026183,1915.1299433016825,1919.8710596911749,1922.009903616708,1923.151020089565,1927.9355559639955,1935.9092088752916,1949.3082769882883
394856,8,"Miami, FL",msa,FL,1511.3596859024149,1517.362496708094,1522.8906790905196,1529.9266614718804,1539.0830690494895,1547.7924321396358,1556.9257248186573,1564.3302879326427,1575.795042450582,1583.7125906928345,1593.7246631753685,1596.626260331141,1600.4426439371016,1601.6865330738065,1605.0284601172673,1606.7248250881594,1606.0708894505942,1605.6954751490728,1607.663880786282,1610.6149704955983,1615.8892321685566,1618.9756707867953,1623.183122316669,1622.4771858915808,1626.8531051422988,1630.3850469888246,1638.775761973353,1641.621163229125,1644.229812644164,1647.011876185312,1652.2528231193608,1659.595956999052,1666.548412947776,1671.9578155995457,1673.4439485017558,1674.4506506220246,1676.683994709819,1679.5926848261074,1683.5300023642512,1687.4622996373191,1692.0503817707634,1697.382625814258,1703.1710480056606,1709.9509292590203,1715.0011593885629,1722.1639593027282,1728.8938375537216,1734.0419414737917,1733.7970865521568,1732.067155306289,1733.1945980288842,1736.3258341089936,1741.7701286192316,1746.0041629573884,1751.1850236674604,1755.59078684892,1762.393537754223,1771.7433758843345,1782.0172042480674,1788.5058149327292,1791.0032558607863,1794.3471546816388,1795.054236186921,1788.76541473391,1779.4650903574782,1778.0932104872409,1783.832679008932,1789.241155014317,1795.024792171186,1808.4709370621017,1827.2941386362156,1843.9379046379397,1859.29716059402,1882.3931203387117,1911.274967510975,1946.0248374131984,1987.096229477006,,,2170.5525457739996,2229.5223331174066,2273.671849379825,2319.603600222176,2367.4650794832132,2410.4062894786516,2444.6525308112787,2482.309169779682,2524.9810434162837,2564.921130711238,2592.944846274274,2613.513401931773,2622.599857313028,2630.4672719971672,2633.2455787203485,2640.7559850039565,2644.7634597382425,2644.9945477074702,2646.9114283980994,2652.0268267619354,2658.5926737562268,2665.5778073700712,2670.4595270124955,2675.646789595602,2680.802598632595,2686.1518993595864,2694.6484283154823,2699.204000074046,2695.181912232038,2693.2970137949833,2697.0474280627386,2707.1861879384,2715.227555431944,2718.3593249907312,2721.9145783865897,2728.195407481783,2736.368734428872,2745.935114522,2749.969387378607,2753.481140236544,2752.781399504429,2755.2803200858725,2756.3888526308833,2760.925975667303,2762.083314705374,2761.898331204687,2760.433527646884,2760.2304081479465
394347,9,"Atlanta, GA",msa,GA,1051.1169893171468,1056.2982844770231,1059.5845088694075,1069.7578061867,1077.9485700000228,1089.8611277670914,1096.116693830003,1099.515411812053,1099.9462127863048,1100.4864667598629,1101.4460614949091,1105.2028452912778,1109.296480978506,1116.2706963639428,1123.9275197622476,1131.694811242974,1141.117180245311,1150.1458677082842,1158.9871834475628,1162.921193523865,1163.3109414925914,1163.7555410623204,1164.084148953741,1166.0256504018903,1170.0570740372586,1178.720708588046,1190.8204141892757,1203.296575918293,1215.8116286402196,1226.3263291261633,1235.522723976681,1239.437987657574,1241.737923024543,1238.190657784024,1240.0283676501597,1241.395458166524,1249.1514388472483,1257.274749142344,1269.1863543073753,1281.0713425501535,1292.4925233452495,1301.281998907915,1307.429027722731,1310.121522411322,1310.3146033072155,1316.4751171654814,1321.805877341686,1327.57433642915,1332.3986706293429,1340.027102769739,1352.410493241594,1363.9555131449165,1374.72900273502,1383.627945476567,1388.4537293405103,1392.773564937792,1395.0529403796547,1394.1493502656551,1391.418224632363,1390.8310718083974,1395.8368598132745,1404.185814784671,1413.186822925834,1416.82157658373,1420.7933005195662,1428.4206105452631,1444.2370056108357,1458.2960468590306,1467.4269812151151,1473.181677506303,1478.738024713942,1485.7730608647926,1499.6624253131276,1518.0240835265763,1537.9728257347483,1560.66884014687,1589.136325367542,1628.685647443777,1671.7565909234088,1715.3151654630874,1747.8116393237165,1767.0898422365535,1774.3328414978496,1775.9442127271082,1779.1594236582685,1784.629722821803,1797.4555805226423,1811.6281479660252,1832.1980379146164,1853.104939765376,1876.8534203793297,1889.49284911858,1891.7986569924228,1881.0079650782072,1869.8337658485757,1864.3230531091303,1862.5369714245028,1866.8827131304945,1878.0603620248476,1885.8885312742252,1892.835445227343,1893.1186752014387,1898.0355761926376,1897.9842281810113,1895.5020811266377,1884.9200427664011,1871.667375236852,1861.3468634215683,1863.8613943788996,1874.3553075135624,1881.412442692004,1886.5103725547172,1891.867359699878,1899.262696524876,1904.9765815266476,1905.3409666219611,1910.134255963116,1908.117846867974,1905.13689646934,1898.3463925512715,1902.4200097651951,1915.8774845451928,1927.593592357724,1934.7083515925156,1935.9296837619072,1938.047613929311,1942.97566717658
